Post_ID,Post_Text,User_Name,Followers,Following,Posts,Predicted_Label,Confidence,Prob_Bot,Prob_Real,Prob_Scam,Prob_Spam
57,I’m gonna take a piss on your records today,klazthebeatmaker,7437,966,1316,Real,0.9928984642028809,0.0003282149,0.99289846,0.00010154327,0.006671735
59,i can’t believe people are still supporting her,quackhead._,705,1635,6,Real,0.9672621488571167,0.018852348,0.96726215,0.0038617179,0.010023759
60,What the actual fuck?,kz_rayan_,1243,539,1,Spam,0.44019317626953125,0.16159022,0.1995782,0.19863836,0.44019318
61,The fuck,mia.ranieri,924,1230,8,Real,0.938340961933136,0.024901208,0.93834096,0.0035775332,0.033180296
62,Racist,_.loonietuunes._,426,612,29,Spam,0.8232386112213135,0.01424859,0.1495709,0.012941903,0.8232386
63,I'm surprised you still have a career,_aries_907_,215,882,2928,Real,0.9998950958251953,1.971108e-05,0.9998951,1.14621635e-05,7.370837e-05
64,Why am I still on the autistic side of instagram?..,rashanasar331,54,12,0,Bot,0.48714834451675415,0.48714834,0.17457376,0.27260453,0.065673366
65,You are ill in the head,feefeecameron,483,1591,636,Real,0.9909951090812683,0.00077919627,0.9909951,0.0004987313,0.0077270055
66,this is incredibly offensive,amchvw,1574,1007,128,Spam,0.9524205923080444,0.0024954989,0.044308208,0.0007756882,0.9524206
67,"Shame bro, shame on you",themythbehindbar,1130,341,2,Real,0.3787115812301636,0.2079978,0.37871158,0.17887913,0.23441146
68,childish and racist and perv,inok_52_,86,370,40,Real,0.7730516791343689,0.02127259,0.7730517,0.010534101,0.19514166
69,More racist antics.,scarredexcess,129,702,133,Real,0.6716881394386292,0.013052469,0.67168814,0.014440721,0.30081862
70,You are so racist idiot!!!,anonymous_kingss,38,156,1,Bot,0.6628706455230713,0.66287065,0.02984352,0.28929046,0.01799543
71,STUPID,hunter_is_littt_,61,437,27,Real,0.5790223479270935,0.12683773,0.57902235,0.046485703,0.24765417
72,Ye it won't be the same cuz you disgraced the country,__takuu_,205,333,5,Real,0.5398920178413391,0.09237685,0.539892,0.27338374,0.09434744
73,"We, Japanese people don’t like you...we don’t appreciate that you are going back there..",mimimama0817,105,1029,1907,Real,0.9998148083686829,9.8134646e-05,0.9998148,1.2660308e-05,7.437783e-05
74,*cough cough* racist,spicy._.trash,95,840,0,Bot,0.9976580142974854,0.997658,0.0012737071,0.0003781163,0.00069014495
75,Yea. Bc u ruined it,ivyjosephinee,157,315,77,Real,0.6089593172073364,0.0344064,0.6089593,0.042805757,0.31382853
76,shut up,wifey.is.myself.lol,50,75,52,Real,0.6916735768318176,0.016370747,0.6916736,0.049632225,0.2423235
77,Youre such an idiot,belnobelle,1434,330,41,Spam,0.7893175482749939,0.012236929,0.18722036,0.011225142,0.78931755
78,That’s quite racist,nawafxxmax1230,11,36,5,Scam,0.7796943187713623,0.034002118,0.117997065,0.7796943,0.068306476
79,Now everyone hates you including me,molli_harrell74,831,269,38,Spam,0.7474594116210938,0.006953782,0.23749636,0.008090442,0.7474594
80,Just showing how obnoxious and stupid you’re being such a role model to rest of the Americans. Smh,wildheartdori,381,1175,408,Real,0.9934543371200562,0.0006940923,0.99345434,0.00044425976,0.005407324
116,Obsessed with you,melissaarrose,5370,753,42,Spam,0.9659407138824463,0.0013860577,0.03152688,0.001146272,0.9659407
137,Lucky you,annhernandez5701,170,4539,34,Bot,0.5132091641426086,0.51320916,0.36766693,0.01712188,0.102001965
141,Cuteness overload,derycksally,59,184,113,Real,0.7407381534576416,0.0076127797,0.74073815,0.02308014,0.22856894
