Post_ID,Post_Text,User_Name,Followers,Following,Posts,Predicted_Label_XGBoost,Confidence_XGBoost,Predicted_Label_NN,Confidence_NN,Predicted_Label_KNN,Confidence_KNN,Agreement_XGB_NN,Agreement_XGB_KNN
63,I'm surprised you still have a career,_aries_907_,215,882,2928,Real,0.9998950958251953,Real,1.0,Real,1.0,True,True
64,Why am I still on the autistic side of instagram?..,rashanasar331,54,12,0,Bot,0.48714834451675415,Scam,0.9689291715621948,Scam,1.0,False,False
65,You are ill in the head,feefeecameron,483,1591,636,Real,0.9909951090812683,Real,0.999809205532074,Real,0.8888888888888888,True,True
66,this is incredibly offensive,amchvw,1574,1007,128,Spam,0.9524205923080444,Real,0.5413228869438171,Spam,0.6666666666666666,False,True
67,"Shame bro, shame on you",themythbehindbar,1130,341,2,Real,0.3787115812301636,Scam,0.9982683658599854,Scam,1.0,False,False
68,childish and racist and perv,inok_52_,86,370,40,Real,0.7730516791343689,Real,0.5754360556602478,Spam,0.7777777777777778,True,False
69,More racist antics.,scarredexcess,129,702,133,Real,0.6716881394386292,Spam,0.5674898028373718,Spam,0.5555555555555556,False,False
70,You are so racist idiot!!!,anonymous_kingss,38,156,1,Bot,0.6628706455230713,Scam,0.8146843314170837,Scam,1.0,False,False
71,STUPID,hunter_is_littt_,61,437,27,Real,0.5790223479270935,Scam,0.9959652423858643,Scam,1.0,False,False
72,Ye it won't be the same cuz you disgraced the country,__takuu_,205,333,5,Real,0.5398920178413391,Spam,0.5001322031021118,Spam,0.6666666666666666,False,False
73,"We, Japanese people don’t like you...we don’t appreciate that you are going back there..",mimimama0817,105,1029,1907,Real,0.9998148083686829,Real,0.9999998807907104,Real,1.0,True,True
74,*cough cough* racist,spicy._.trash,95,840,0,Bot,0.9976580142974854,Scam,0.7089816927909851,Scam,1.0,False,False
75,Yea. Bc u ruined it,ivyjosephinee,157,315,77,Real,0.6089593172073364,Scam,0.9987388253211975,Scam,1.0,False,False
76,shut up,wifey.is.myself.lol,50,75,52,Real,0.6916735768318176,Scam,0.9999662637710571,Scam,1.0,False,False
77,Youre such an idiot,belnobelle,1434,330,41,Spam,0.7893175482749939,Scam,0.9983121156692505,Scam,1.0,False,False
78,That’s quite racist,nawafxxmax1230,11,36,5,Scam,0.7796943187713623,Scam,0.9688711762428284,Scam,1.0,True,True
79,Now everyone hates you including me,molli_harrell74,831,269,38,Spam,0.7474594116210938,Scam,0.9993283748626709,Scam,1.0,False,False
80,Just showing how obnoxious and stupid you’re being such a role model to rest of the Americans. Smh,wildheartdori,381,1175,408,Real,0.9934543371200562,Real,0.9906463623046875,Real,0.6666666666666666,True,True
116,Obsessed with you,melissaarrose,5370,753,42,Spam,0.9659407138824463,Spam,0.6849309802055359,Spam,0.6666666666666666,True,True
137,Lucky you,annhernandez5701,170,4539,34,Bot,0.5132091641426086,Bot,0.999997615814209,Bot,1.0,True,True
141,Cuteness overload,derycksally,59,184,113,Real,0.7407381534576416,Real,0.6499995589256287,Spam,0.7777777777777778,True,False
